COURSE_ID,TITLE,DESCRIPTION
DX0107EN,Data Science Bootcamp With Python For University Professors,Data Science Bootcamp With Python For University Professors
DS0321EN,Bitcoin 101,Greetings And Welcome To The Introduction To Bitcoin Course
DS0105EN,Data Science Hands On With Open Source Tools,What Tools Do Data Scientists Use  In This Course  You Ll Learn How To Use The Most Popular Data Science Tools  Including Jupyter Notebooks  Rstudio Ide  Apache Zeppelin  And More
DS0103EN,Data Science Methodology,Grab You Lab Coat  Beakers  And Pocket Calculator‚Wait What  Wrong Path  Fast Forward And Get In Line With Emerging Data Science Methodologies That Are In Use And Are Making Waves Or Rather Predicting And Determining Which Wave Is Coming And Which One Has Just Passed
GPXX0I4FEN,Creating Asynchronous Java Microservices Using Microprofile Reactive Messaging,Learn How To Write Reactive Java Microservices Using Microprofile Reactive Messaging
GPXX06KEEN,Build A Smart Search Form With Algolia,Great Search Is An Essential Feature That All Of The Best Applications Share  In This Project  We Ll Leverage The Power Of Algolia To Build Our Own Smart Search Form From Scratch
GPXX0YBFEN,Documenting Restful Apis Using Microprofile Openapi,Explore How To Document And Filter Restful Apis From Code Or Static Files By Using Microprofile Openapi
LB0109ENv1,Reactive Architecture  Distributed Messaging Patterns,Reactive Architecture  Distributed Messaging Patterns
GPXX0KHHEN,Data Science In Agriculture  Land Use Classification,In This Lab  We Will Learn The Basic Methods Of Images Transformation Classification
LB0111EN,Reactive Architecture  Cqrs   Event Sourcing,Reactive Architecture  Cqrs   Event Sourcing
ML0115EN,Deep Learning 101,Deep Learning 101
LB0105ENv1,Reactive Architecture  Reactive Microservices,When We Use The Term Reactive  We Are Usually Talking About Reactive Microservices  But What Is A Microservice  And How Can We Make It Reactive  This Course Will Explore The Difference Between Monoliths And Microservices And Show The Journey To Making A System Reactive
LB0103ENv1,Reactive Architecture  Domain Driven Design,Domain Driven Design Is A Technique Commonly Used To Build Reactive Systems  This Course Will Introduce The Core Elements Of Domain Driven Design  It Will Also Explain How Those Elements Relate To Reactive Systems
IT0101EN,Building Robots With Tjbot,Learn How To Program A Simple Robot  Tjbot  To Move Its Arm  Recognize Objects  Flash A Light  Speak  And More  You Can Build Simple Apps To Control Tjbot By Using Node Js Or Even Node Red  If You Don T Want To Purchase The Tjbot  You Use A Simulator Instead
CC0250EN,Building Cloud Native And Multicloud Applications,This Course Introduces You To Concepts Related To Migrating  Modernizing  Building And Delivering Applications In Cloud Native And Multicloud Environments   You Will Learn How To Make Informed Decisions About Application Migration And Enterprise Modernization   This Course Is Of Interest To Anyone And Everyone Who Wants To Learn About Cloud Native And Multicloud Environments  It Provides Information To Those Who Want To Work On Cloud Native Development Projects  On Legacy Modernization Projects  On Devops Engineering Projects Or As It Cloud Administrators
BD0101EN,Big Data 101,How Big Is Big And Why Does Big Matter And What Does Apache Hadoop Have To Do With It  In This Course You Will See The Big Data Big Picture And You Will Learn The Terminology Used In Big Data Discussions
EE0101EN,Modernizing Java Ee Applications,Learn About The Techniques And Tools Available To Take Existing Applications And Update Them To Run On Cloud Native Computing Platforms  Complete This Course To Level Up In Your Understanding Of Modernization And Migration Options And Earn An Ibm Badge
GPXX04P5EN,Data Science In Agriculture  Prognostication Using By Neural Network,In This Lab  We Will Learn The Basic Methods Of Forecasting Using Linear Regression And Neural Networks
CO0101EN,Docker Essentials  A Developer Introduction,Learn How To Use Containers For Your Applications  Create And Run Your First Docker Container  Then  Learn How To Run Containers In Production And Solve Problems Of Orchestration Such As High Availability  Service Discovery  And Reconciliation
ML0122ENv3,Accelerating Deep Learning With Gpus,Training Complex Deep Learning Models With Large Datasets Takes Along Time  In This Course  You Will Learn How To Use Accelerated Gpu Hardware To Overcome The Scalability Problem In Deep Learning
LB0107ENv1,Reactive Architecture  Building Scalable Systems,Reactive Architecture  Building Scalable Systems
CB0101EN,Build Your Own Chatbots,Learn How To Build Chatbots Without Having To Write Any Code By Leveraging Watson Assistant  Then Deploy Your Chatbot To A Real Site In Less Than Five Minutes
GPXX0PG8EN,Data Science In Agriculture  Basic Statistical Analysis And Geo Visualisation,In This Lab  We Will Learn How To Download Data  Perform Basic Statistical Analysis  Visualize And Display It On Dynamic Maps
ML0101EN,Machine Learning With Python,Are The Phrases ‚  It Is Certain    ‚  Yes You May Rely On It    ‚  Reply Hazy Try Again   Common In Your Predictions  Make Room On Your Shelf For Your Magic Eight Ball And Take This Opportunity To See How Machine Learning Can Be A Beneficial Tool For Predicting Future Trends  All With A Bit More Than Oil And Blue Die  All Signs Point To Yes As An Indicator You Will Benefit From This Experience
CB0103EN,Build Your Own Chatbot,Learn How To Build Chatbots Without Having To Write Any Code By Leveraging Watson Assistant  Then Deploy Your Chatbot To A Real Site In Less Than Five Minutes
ML0109EN,Machine Learning   Dimensionality Reduction,Machine Learning   Dimensionality Reduction
ML0101ENv3,Machine Learning With Python,Machine Learning Can Be An Incredibly Beneficial Tool To Uncover Hidden Insights And Predict Future Trends  This Free Machine Learning With Python Course Will Give You All The Tools You Need To Get Started With Supervised And Unsupervised Learning
GPXX0M7ZEN,Consuming A Restful Java Web Service Using Json B And Json P,Explore How To Access A Simple Restful Web Service And Consume Its Resources In Java Using Json B And Json P
CC0121EN,An Introduction To Ibm Cloud For Financial Services,Learn About The Target Market Segment For Financial Services  Customer Issues And Challenges  And The Benefits Of Ibm Cloud For Financial Services
DA0101EN,Data Analysis With Python,In This Course You Will Learn About  Data Acquisition How To Obtain Basic Insight From A Dataset Data
GPXX07UGEN,Testing Reactive Java Microservices Using Microshed Testing Framework,Learn How To Test Reactive Java Microservices In True To Production Environments Using Microshed Testing
GPXX0QU9EN,Checking The Health Of Java Microservices By Using Kubernetes Readiness And Liveness Probes,Learn How To Check The Health Of Microservices On Kubernetes By Setting Up Readiness And Liveness Probes To Inspect Microprofile Health Check Endpoints
SC0101EN,Scala 101,The Typesafe Scala 101 For Data Science Curricula Is Designed To Give Experienced Data Developers And Data Science The Know¬≠How To Confidently Start Programming In Scala For Data Science Tasks  The Course Ensures They Will Have A Solid Understanding Of The Fundamentals Of The Language  The Tooling And The Development Process As Well As A Good Appreciation Of The More Advanced Features  If Students Already Have Scala Programming Experience  Then This Course Could Be A Useful Refresher  Yet No Previous Knowledge Of Scala Is Assumed
GPXX0QTEEN,Checking The Health Of Java Microservices By Using Eclipse Microprofile Health Check,Explore How To Report And Check The Health Of A Microservice With Microprofile Health
GPXX0WTIEN,Train A Hotdog Image Recognition Model With Python,We All Know That Machines Can Do A Lot These Days  Including Recognizing Whether Or Not An Image Has A Certain Object In It  But Did You Know That You  Too  Can Train A Model To Do Just That  In This Guided Project  You‚ Will Learn How To Train A Model In Python With Pytorch  A Machine Learning Library  To Detect If A Picture Has A Hotdog In It  This Process Can Be Repeated With Any Object  Whether It Is A Bird  A Plane Or Even Superman
GPXX08WYEN,Externalizing Configuration For Java Microservices Using Eclipse Microprofile Config,Learn How To Provide External Configuration To Microservices Using Microprofile Config
GPXX0UMSEN,Integrating Restful Services With A Reactive System,Learn How To Integrate Restful Java Microservices With A Reactive System By Using Microprofile Reactive Messaging
GPXX0M6UEN,Using The Cql Shell To Execute Keyspace Operations In Cassandra,In This Guided Project  You Will Use The Cassandra Query Language Command Line Shell And Execute Keyspace Operations In A Cassandra Database
GPXX097UEN,Performing Table And Crud Operations With Cassandra,In This Guided Project  You Will Create A Table And Perform Create  Read  Update  Delete  Crud  Operations In Cassandra Using The Cql Shell  Cqlsh  Command Line Interface
SN0111EN,How To Create And Publish Guided Projects And Hands On Labs,In This Preview Version Of The Course  Only The Lab Instructions Are Available To Get You Started With Creating Hands On Labs And Guided Projects  In The Coming Weeks  We Will Enhance The Course With Videos  Assessments  And A Course Certificate
GPXX0JGFEN,Building A Simple Restful Java Microservice Using Jax Rs And Json B,Learn How To Create A Rest Service With Jax Rs  Json B  And Open Liberty
CO0193EN,Hybrid Cloud Conference   Backend Services For Containers,Hybrid Cloud Conference   Backend Services For Containers
GPXX0HC7EN,Transform Photos To Sketches And Paintings With Opencv,Have You Wanted To Transform Your Photographs In An Artistic Sketch Or Painting To Showcase Your Creativity ¬† In This Guided Project You Ll Do Just That  Transform Your Photographs To Paintings  Sketches And More Using Opencv In Python
GPXX04MXEN,Quick Introduction To A B Testing,Experimental Design Refers To How Users Are Allocated To The Different Groups In An Experiment  A B Testing Is An Experiment Set Up To Compare Two Versions Of Something To Decide Which Performs Better
DS0101EN,Introduction To Data Science,The Art Of Uncovering The Insights And Trends In Data Has Been Around Since Ancient Times  The Ancient Egyptians Used Census Data To Increase Efficiency In Tax Collection And They Accurately Predicted The Flooding Of The Nile River Every Year  Since Then  People Working In Data Science Have Carved Out A Unique And Distinct Field For The Work They Do  This Field Is Data Science  In This Course  We Will Meet Some Data Science Practitioners And We Will Get An Overview Of What Data Science Is Today
LB0101ENv1,Reactive Architecture  Introduction To Reactive Systems,This Course Teaches The Core Principles Behind Reactive Architecture  It Introduces Students To Why We Need Reactive Systems  And What Problems They Are Trying To Solve  It Also Contrasts Reactive Architectures With Reactive Programming  Showing How They Relate  And How They Are Different
DS0301EN,Data Privacy Fundamentals,Data Privacy Fundamentals
GPXX0RL8EN,Consuming A Restful Java Web Service With Angularjs,Explore How To Access A Simple Restful Web Service And Consume Its Resources With Angularjs In Open Liberty
GPXX05LMEN,Implement Consumer Driven Contract Testing For Java Microservices Using The Pact Framework,Learn How To Test Java Microservices With Consumer Driven Contracts In Open Liberty
BD0111EN,Hadoop 101,This Free Apache Hadoop Course Introduces You To Big Data Concepts  And Teaches You How To Perform Distributed Processing Of Large Data Sets With Hadoop
CC0101EN,Introduction To Cloud,This Course Introduces You To The Core Concepts Of Cloud Computing  You Will Gain The Foundational Knowledge Required For Understanding Cloud Computing From Both Business And Practitioner Perspectives
GPXX0UN5EN,Classification Of Yelp Reviews Using Sentiment Analysis,Sentiment Analysis Has Become A Very Popular Tool To Extract Subjective Information From The Social Media And To Help Businesses Understand The Social Sentiment Of Their Brand  Product Or Service   In This Guided Project  You Will Be Introduced To Several Natural Language Processing Techniques To Help You Derive Some Meaning From Yelp Business Reviews  As Well As To Build And Test A Classification Model To Divide These Reviews Into Positive Or Negative
BD0221EN,Spark Mllib,Spark Provides A Machine Learning Library Known As Mllib  Mllib Provides Various Machine Learning Algorithms Such As Classification  Regression  Clustering  And Collaborative Filtering  It Also Provides Tools Such As Featurization  Pipelines  Persistence  And Utilities For Handing Linear Algebra Operations  Statistics And Data Handling
CC0103EN,Ibm Cloud Essentials   V3,This Course Introduces You To The Ibm Cloud  You Will Learn About The Many Offerings And Services On Ibm Cloud That Make It The Most Open And Secure Public Cloud For Developers And Enterprises
GPXX0TY1EN,Performing Database Operations In The Cloudant Dashboard,In This Guided Project  You Will Launch Ibm Cloudant To Explore Database As A Service  Dbaas  Operations  Perform Simple Operations Like Querying Or Copying Data  And Monitor Activities On The Dashboard
GPXX0T3CEN,Working With Databases In Ibm Cloudant,In This Guided Project  You Will Explore Database Operations In Ibm Cloud By Working With Real Estate Data
PY0101EN,Python For Data Science,This Beginner Friendly Python Course Will Take You From Zero To Programming In Python In A Matter Of Hours  You Ll Be Able To Write Your Own Python Scripts And Perform Basic Hands On Data Analysis Using Our Jupyter Based Lab Environment
CC0201EN,Introduction To Containers  Kubernetes  And Openshift V2,This Course Introduces The Core Concepts Of Containers And Kubernetes And Explains How Containers Differ From Virtual Machines  It Also Covers The Importance Of Containers In Cloud Computing As Well As The Emerging Ecosystem Of Related Technologies Such As Docker  Kubernetes  Openshift  Istio And Knative
BD0123EN,Simplifying Data Pipelines With Apache Kafka,When You Hear The Terms  Producer  Consumer  Topic Category  Broker  And Cluster Used Together To Describe A Messaging System  Something Is Brewing In The Pipelines  Get Connected And Learn What That Is  And What It Means
DB0101EN,Sql And Relational Databases 101,Are You Ready To Dive Into The World Of Sql And Relational Databases  In Just A Few Hours  You Ll Be Able To Discuss Sql Basics And Explain Various Aspects Of The Relational Database Model  Try Our Hands On Exercises As We Guide Your First Steps Into Sql And Relational Databases
GPXX05RDEN,Medical Appointment Data Analysis,In This Notebook We Will Try To Analyze Why Would Some Patients Not Show Up For Their Medical Appointment And Whether There Are Reasons For That Using The Data We Have
DV0151EN,Data Visualization With R,Data Visualization Is The Presentation Of Data With Graphics  It S A Way To Summarize Your Findings And Display It In A Form That Facilitates Interpretation And Can Help In Identifying Patterns Or Trends  In This Course You Will Learn How To Create Beautiful Graphics And Charts  Customizing The Look And Feel Of Them As You Wish
GPXX0BSAEN,Implementing A Graphql Microservice Using Microprofile Api To Query And Update Data From Multiple Services,Learn How To Use Microprofile Graphql To Query And Update Data From Multiple Services  And How To Test Graphql Queries And Mutations Using An Interactive Graphql Tool  Graphiql
GPXX0G81EN,Consuming A Restful Java Web Service With Reactjs,Explore How To Access A Simple Restful Web Service And Consume Its Resources With Reactjs In Open Liberty
GPXX0FFCEN,Building And Testing A Java Web Application With Maven And Open Liberty,Learn How To Build And Test A Simple Web Application Using Maven And Open Liberty
GPXX0MP0EN,Building A Hypermedia Driven Restful Java Microservice Using Hypermedia As The Engine Of Application State  Hateoas ,You‚ Will Explore How To Use Hypermedia As The Engine Of Application State  Hateoas  To Drive Your Restful Web Service On Open Liberty
DV0101EN,Data Visualization With Python,Data Visualization Is The Graphical Representation Of Data In Order To Interactively And Efficiently Convey Insights To Clients  Customers  And Stakeholders In General  It Is A Way To Summarize Your Findings And Display It In A Form That Facilitates Interpretation And Can Help In Identifying Patterns Or Trends  In This Data Visualization With Python Course  You Ll Learn How To Create Interesting Graphics And Charts And Customize Them To Make Them More Effective And More Pleasing To Your Audience
ML0103EN,Digital Analytics   Regression,This Course Uses A Case Study Approach To Take You Through The End To End Process Of Identifying A Business Objective  Designing The Model To Address It  Sourcing The Data And Ultimately Arriving At The Insights  When You Complete This Course  You Can Apply These Methods And Principles In A Variety Of Contexts  With Big  Medium Or Small Data
ML0151EN,Machine Learning With R,This Machine Learning With R Course Dives Into The Basics Of Machine Learning Using An Approachable  And Well Known  Programming Language  You Ll Learn About Supervised Vs Unsupervised Learning  Look Into How Statistical Modeling Relates To Machine Learning  And Do A Comparison Of Each
GPXX01AVEN,Containerizing And Running Java Microservices In Docker Containers,Learn How To Containerize And Run Your Microservices With Open Liberty Using Docker
ML0120ENv2,Deep Learning With Tensorflow,Majority Of Data In The World Are Unlabeled And Unstructured Data  For Instance Images  Sound  And Text Data  Shallow Neural Networks Cannot Easily Capture Relevant Structure In These Kind Of Data  But Deep Networks Are Capable Of Discovering Hidden Structures Within¬†These Data  In This Course  You Will Use Tensorflow Library To Apply Deep Learning On Different Data Types To Solve Real World Problems
RP0101EN,R For Data Science,Are You Ready To Dive Head First Into R  In Just A Few Hours You Ll Learn How To Write Your Own R Code  Learn About Data Structures And Create Your Own Functions  You‚ Will Even Be Able To Import Data And Do Some Operations  Try Our Hands On Exercises As We Guide Your First Steps Into Your Data Science Journey With R
GPXX0G31EN,Accessing And Persisting Data In Microservices Using Java Persistence Api  Jpa ,Learn How To Use Java Persistence Api  Jpa  To Access And Persist Data To A Database For Your Microservices
GPXX0KY1EN,Data Science In Health Care  Basic Prognostication And Geo Visualization,In This Guided Project We Will Study How Make Predictions Based On Linear Regression  Obtain Statistics And Create Interactive Maps Showing The Dynamics Of Virus Spread
GPXX0JLHEN,Enabling Distributed Tracing In Java Microservices Using Eclipse Microprofile Opentracing And The Jaeger Tracing System ,Explore How To Enable And Customize Tracing Of Jax Rs And Non Jax Rs Methods By Using Microprofile Opentracing And Jaeger
CC0150EN,Building Cloud Native And Multicloud Applications,In This Course  We Will Cover The Core Concepts And Practices Of Building And Running Cloud Native Applications And How To Run These Applications In A Multicloud Environment  We Will Cover Technologies And Practices Including  Microservices  Devops  Ci Cd  Docker  Kubernetes  And Openshift
GPXX0QQ3EN,Deploy An Ai Powered Discord Bot With A Voice,Discord Is A Fantastic Way To Connect With Your Friends Or Host A Community And A Bot Is A Perfect Way To Add Features To Your Server  Not Only Will This Guided Project Show You How To Get Started In Creating A Bot  But You Ll Also Learn How To Power It With An Ai Chatbot And Give It A Voice  Finally  You Ll Host It Somewhere So That The Bot Is Online Without Your Computer Being On  All Of This For Free
GPXX0RQLEN,Views In Postgresql,In This Project  You Will Learn How To Create And Execute Views And Materialized Views In The Postgresql Database Service Using The Pgadmin Graphical User Interface  Gui  Tool  Materialized Views Behave Differently Compared To Regular Views  In Materialized Views  Result Set Is Materialized Or Saved For Future Use  You Can T Insert  Update  Or Delete Rows Like In Regular Views  Materialized Views Can Improve Performance
GPXX0WRDEN,Streaming Updates From A Microprofile Reactive Messaging Microservice Using Server Sent Events  Sse ,Learn How To Stream Updates From A Microprofile Reactive Messaging Service To A Front End Client By Using Server Sent Events  Sse
GPXX0ADEN,Consuming A Restful Java Web Service With Angular,Explore How To Access A Simple Restful Web Service And Consume Its Resources With Angular In Open Liberty
ML0120ENv3,Deep Learning With Tensorflow,Majority Of Data In The World Are Unlabeled And Unstructured Data  For Instance Images  Sound  And Text Data  Shallow Neural Networks Cannot Easily Capture Relevant Structure In These Kind Of Data  But Deep Networks Are Capable Of Discovering Hidden Structures Within¬†These Data  In This Course  You Will Use Tensorflow Library To Apply Deep Learning On Different Data Types To Solve Real World Problems
SC0105EN,Data Science With Scala,Apache Spark Is A Fast And General Engine For Large Scale Data Processing  With Built In Modules For Streaming  Sql  Machine Learning And Graph Processing  This Course Shows How To Use Spark  S Machine Learning Pipelines To Fit Models And Search For Optimal Hyperparameters Using A Spark Cluster
excourse01,Relational Database Systems,Welcome To The Specialization Course Relational Database Systems  This Course Will Be Completed On Six Weeks  It Will Be Supported With Videos And Various Documents That Will Allow You To Learn In A Very Simple Way How Several Types Of Information Systems And Databases Are Available To Solve Different Problems And Needs Of The Companies  Objective  A Learner Will Be Able To Design  Test  And Implement Analytical  Transactional Or Nosql Database Systems According To Business Requirements By Programming Reliable  Scalable And Maintainable Applications And Resources Using Sql And Hadoop Ecosystem  Programming Languages  For Course 1 You Will Use The Mysql Language  Software To Download  Mysql Workbench In Case You Have A Mac   Ios Operating System You Will Need To Use A Virtual Machine  Virtualbox  Vmware
excourse02,Business Intelligence And Data Warehousing,Welcome To The Specialization Course Business Intelligence And Data Warehousing  This Course Will Be Completed On Six Weeks  It Will Be Supported With Videos And Various Documents That Will Allow You To Learn In A Very Simple Way How To Identify  Design And Develop Analytical Information Systems  Such As Business Intelligence With A Descriptive Analysis On Data Warehouses  You Will Be Able To Understand The Problem Of Integration And Predictive Analysis Of High Volume Of Unstructured Data  Big Data  With Data Mining And The Hadoop Framework
excourse03,Nosql Systems,Welcome To The Specialization Course Of Nosql Systems  This Course Will Be Completed On Six Weeks  It Will Be Supported With Videos And Exercises That Will Allow You To Identify The Differences Between The Relational And Nosql Databases  As Part Of These Alternative Technologies The Student Will Learn The Main Characteristics And How To Implement The Typical Nosql Databases  Such As Key Value  Columnar  Document And Graph  Let S Start After Completing This Course  A Learner Will Be Able Toidentify What Type Of Nosql Database To Implement Based On Business Requirements  Key Value  Document  Full Text  Graph  Etc  Apply Nosql Data Modeling From Application Specific Queriesuse Atomic Aggregates And Denormalization As Data Modelling Techniques To Optimize Query Processingsoftware To Download Mongodbneo4Jsapiqcassandra
excourse04,"
Sql For Data Science",As Data Collection Has Increased Exponentially  So Has The Need For People Skilled At Using And Interacting With Data  To Be Able To Think Critically  And Provide Insights To Make Better Decisions And Optimize Their Businesses  This Is A Data Scientist    Part Mathematician  Part Computer Scientist  And Part Trend Spotter    Sas Institute  Inc    According To Glassdoor  Being A Data Scientist Is The Best Job In America  With A Median Base Salary Of  110 000 And Thousands Of Job Openings At A Time  The Skills Necessary To Be A Good Data Scientist Include Being Able To Retrieve And Work With Data  And To Do That You Need To Be Well Versed In Sql  The Standard Language For Communicating With Database Systems This Course Is Designed To Give You A Primer In The Fundamentals Of Sql And Working With Data So That You Can Begin Analyzing It For Data Science Purposes  You Will Begin To Ask The Right Questions And Come Up With Good Answers To Deliver Valuable Insights For Your Organization  This Course Starts With The Basics And Assumes You Do Not Have Any Knowledge Or Skills In Sql  It Will Build On That Foundation And Gradually Have You Write Both Simple And Complex Queries To Help You Select Data From Tables   You Ll Start To Work With Different Types Of Data Like Strings And Numbers And Discuss Methods To Filter And Pare Down Your Results  You Will Create New Tables And Be Able To Move Data Into Them  You Will Learn Common Operators And How To Combine The Data  You Will Use Case Statements And Concepts Like Data Governance And Profiling  You Will Discuss Topics On Data  And Practice Using Real World Programming Assignments  You Will Interpret The Structure  Meaning  And Relationships In Source Data And Use Sql As A Professional To Shape Your Data For Targeted Analysis Purposes  Although We Do Not Have Any Specific Prerequisites Or Software Requirements To Take This Course  A Simple Text Editor Is Recommended For The Final Project  So What Are You Waiting For  This Is Your First Step In Landing A Job In The Best Occupation In The Us And Soon The World
excourse05,"
Distributed Computing With Spark Sql",This Course Is All About Big Data  It  S For Students With Sql Experience That Want To Take The Next Step On Their Data Journey By Learning Distributed Computing Using Apache Spark  Students Will Gain A Thorough Understanding Of This Open Source Standard For Working With Large Datasets  Students Will Gain An Understanding Of The Fundamentals Of Data Analysis Using Sql On Spark  Setting The Foundation For How To Combine Data With Advanced Analytics At Scale And In Production Environments  The Four Modules Build On One Another And By The End Of The Course You Will Understand  The Spark Architecture  Queries Within Spark  Common Ways To Optimize Spark Sql  And How To Build Reliable Data Pipelines  The First Module Introduces Spark And The Databricks Environment Including How Spark Distributes Computation And Spark Sql  Module 2 Covers The Core Concepts Of Spark Such As Storage Vs  Compute  Caching  Partitions  And Troubleshooting Performance Issues Via The Spark Ui  It Also Covers New Features In Apache Spark 3 X Such As Adaptive Query Execution  The Third Module Focuses On Engineering Data Pipelines Including Connecting To Databases  Schemas And Data Types  File Formats  And Writing Reliable Data  The Final Module Covers Data Lakes  Data Warehouses  And Lakehouses  Students Build Production Grade Data Pipelines By Combining Spark With The Open Source Project Delta Lake  By The End Of This Course  Students Will Hone Their Sql And Distributed Computing Skills To Become More Adept At Advanced Analysis And To Set The Stage For Transitioning To More Advanced Analytics As Data Scientists
excourse06,"
Sql For Data Science Capstone Project",Data Science Is A Dynamic And Growing Career Field That Demands Knowledge And Skills Based In Sql To Be Successful  This Course Is Designed To Provide You With A Solid Foundation In Applying Sql Skills To Analyze Data And Solve Real Business Problems Whether You Have Successfully Completed The Other Courses In The Learn Sql Basics For Data Science Specialization Or Are Taking Just This Course  This Project Is Your Chance To Apply The Knowledge And Skills You Have Acquired To Practice Important Sql  Querying And Solve Problems With Data  You Will Participate In Your Own Personal Or Professional Journey To Create A Portfolio Worthy Piece From Start To Finish  You Will Choose A Dataset And Develop A Project Proposal  You Will Explore Your Data And Perform Some Initial Statistics You Have Learned Through This Specialization  You Will Uncover Analytics For Qualitative Data And Consider New Metrics That Make Sense From The Patterns That Surface In Your Analysis  You Will Put All Of Your Work Together In The Form Of A Presentation Where You Will Tell The Story Of Your Findings  Along The Way  You Will Receive Feedback Through The Peer Review Process  This Community Of Fellow Learners Will Provide Additional Input To Help You Refine Your Approach To Data Analysis With Sql And Present Your Findings To Clients And Management
excourse07,Database Management Essentials,Database Management Essentials Provides The Foundation You Need For A Career In Database Development  Data Warehousing  Or Business Intelligence  As Well As For The Entire Data Warehousing For Business Intelligence Specialization  In This Course  You Will Create Relational Databases  Write Sql Statements To Extract Information To Satisfy Business Reporting Requests  Create Entity Relationship Diagrams  Erds  To Design Databases  And Analyze Table Designs For Excessive Redundancy  As You Develop These Skills  You Will Use Either Oracle  Mysql  Or Postgresql To Execute Sql Statements And A Database Diagramming Tool Such As The Er Assistant Or Visual Paradigm To Create Erds  We  Ve Designed This Course To Ensure A Common Foundation For Specialization Learners  Everyone Taking The Course Can Jump Right In With Writing Sql Statements In Oracle  Mysql  Or Postgresql
excourse08,Using Databases With Python,This Course Will Introduce Students To The Basics Of The Structured Query Language  Sql  As Well As Basic Database Design For Storing Data As Part Of A Multi Step Data Gathering  Analysis  And Processing Effort   The Course Will Use Sqlite3 As Its Database   We Will Also Build Web Crawlers And Multi Step Data Gathering And Visualization Processes   We Will Use The D3 Js Library To Do Basic Data Visualization   This Course Will Cover Chapters 14 15 Of The Book   Python For Everybody    To Succeed In This Course  You Should Be Familiar With The Material Covered In Chapters 1 13 Of The Textbook And The First Three Courses In This Specialization  This Course Covers Python 3
excourse09,Process Data From Dirty To Clean,In This Course  You  Ll Continue To Build Your Understanding Of Data Analytics And The Concepts And Tools That Data Analysts Use In Their Work  You  Ll Learn How To Check And Clean Your Data Using Spreadsheets And Sql As Well As How To Verify And Report Your Data Cleaning Results  Current Google Data Analysts Will Continue To Instruct And Provide You With Hands On Ways To Accomplish Common Data Analyst Tasks With The Best Tools And Resources Learners Who Complete This Certificate Program Will Be Equipped To Apply For Introductory Level Jobs As Data Analysts  No Previous Experience Is Necessary By The End Of This Course  You Will Be Able To Do The Following    Learn How To Check For Data Integrity    Discover Data Cleaning Techniques Using Spreadsheets     Develop Basic Sql Queries For Use On Databases    Apply Basic Sql Functions For Cleaning And Transforming Data    Gain An Understanding Of How To Verify The Results Of Cleaning Data    Explore The Elements And Importance Of Data Cleaning Reports
excourse10,Database Architecture  Scale  And Nosql With Elasticsearch,You Will Explore Database Architecture  Postgresql  And Various Scalable Deployment Configurations  You Will See How Postgresql Implements Basic Crud Operations And Indexes  And Review How Transactions And The Acid  Atomicity  Consistency  Isolation  Durability  Requirements Are Implemented  You  Ll Learn To Use Elasticsearch Nosql  Which Is A Common Nosql Database And A Supplement To A Relational Database To High Speed Search And Indexing  We Will Examine Elasticsearch As An Example Of A Base Style  Basic Availability  Soft State  Eventual Consistency  Database Approach  As Well As Compare And Contrast The Advantages And Challenges Associated With Acid And Base Databases
excourse11,The Nature Of Data And Relational Database Design,This Course Provides A Comprehensive Overview Of Data  Various Data Types  Design Of Databases For Storage Of Data  And Creation And Manipulation Of Data In Databases Using Sql  By The End Of This Course  Students Will Be Able To Describe What Business Intelligence Is And How It  S Different From Business Analytics And Data Science  Conduct A Basic Descriptive Statistical Analysis And Articulate The Findings  And Differentiate Between Types Of Statistics  They Will Also Be Able To Define Normalization And Etl  Create An Erd That Shows Progression From Conceptual To Logical To Physical Design  Define Ddl  Dml  Dcl  And Tcl  And Write Sql Scripts To Create A Database And Associated Tables
excourse12,Python Scripting  Files  Inheritance  And Databases,This Course Is The Third Course In A Series That Aims To Prepare You For A Role Working As A Programmer  In This Course  You Will Be Introduced To The Three Main Concepts In Programming  Files  Inheritance And External Libaries   Labs Will Allow The Students To Apply The Material In The Lectures In Simple Computer Programs Designed To Re Enforce The Material In The Lesson
excourse13,Relational Database Support For Data Warehouses,Relational Database Support For Data Warehouses Is The Third Course In The Data Warehousing For Business Intelligence Specialization  In This Course  You Ll Use Analytical Elements Of Sql For Answering Business Intelligence Questions  You Ll Learn Features Of Relational Database Management Systems For Managing Summary Data Commonly Used In Business Intelligence Reporting  Because Of The Importance And Difficulty Of Managing Implementations Of Data Warehouses  We Ll Also Delve Into Storage Architectures  Scalable Parallel Processing  Data Governance  And Big Data Impacts  In The Assignments In This Course  You Can Use Either Oracle Or Postgresql
excourse14,Introduction To Structured Query Language  Sql ,In This Course  You Ll Walk Through Installation Steps For Installing A Text Editor  Installing Mamp Or Xampp  Or Equivalent  And Creating A Mysql Database  You Ll Learn About Single Table Queries And The Basic Syntax Of The Sql Language  As Well As Database Design With Multiple Tables  Foreign Keys  And The Join Operation  Lastly  You Ll Learn To Model Many To Many Relationships Like Those Needed To Represent Users  Roles  And Courses
